"","Cluster","time_point","genotype","treatment","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"11","D1.303.infected","D1","303","infected","GO:0009637","response to blue light","9/326","135/26205",5.06541803606753e-05,0.00259717797485644,0.00222005881389371,"TF172414_c1_g1_i1/TF178051_c0_g1_i4/TF252754_c0_g1_i8/TF270102_c0_g1_i4/TF335263_c6_g1_i1/TF395660_c1_g2_i1/TF59739_c1_g1_i1/TF64389_c1_g2_i5/TF375368_c0_g1_i6",9
"12","D1.303.infected","D1","303","infected","GO:0009658","chloroplast organization","10/326","206/26205",0.000274628490892251,0.0129075390719358,0.0110333200726887,"TF122272_c0_g2_i1/TF162071_c2_g1_i1/TF202679_c0_g1_i4/TF24989_c0_g1_i3/TF302872_c0_g1_i3/TF325559_c0_g1_i1/TF348980_c4_g3_i1/TF72650_c1_g1_i4/TF102884_c0_g1_i1/TF310865_c0_g1_i6",10
"13","D1.303.infected","D1","303","infected","GO:0010155","regulation of proton transport","7/326","106/26205",0.000367877312857832,0.0150050697632687,0.0128262821044738,"TF172414_c1_g1_i1/TF178051_c0_g1_i4/TF252754_c0_g1_i8/TF335263_c6_g1_i1/TF395660_c1_g2_i1/TF59739_c1_g1_i1/TF375368_c0_g1_i6",7
"14","D1.303.infected","D1","303","infected","GO:0006351","DNA-templated transcription","6/326","76/26205",0.000372466270719437,0.0150050697632687,0.0128262821044738,"TF168850_c1_g1_i1/TF245605_c0_g1_i1/TF261841_c0_g1_i6/TF321441_c0_g2_i1/TF326436_c0_g1_i1/TF302992_c0_g1_i2",6
"15","D1.303.infected","D1","303","infected","GO:0010114","response to red light","7/326","118/26205",0.00070134711918368,0.0263706516813064,0.022541542497272,"TF252754_c0_g1_i8/TF270102_c0_g1_i4/TF335263_c6_g1_i1/TF52576_c2_g2_i3/TF59739_c1_g1_i1/TF64389_c1_g2_i5/TF375368_c0_g1_i6",7
"16","D1.303.infected","D1","303","infected","GO:0051131","chaperone-mediated protein complex assembly","2/326","4/26205",0.000910572150354825,0.0315379626911581,0.0269585422033415,"TF150529_c0_g1_i1/TF188744_c0_g2_i3",2
"17","D1.303.infected","D1","303","infected","GO:0006094","gluconeogenesis","12/326","330/26205",0.000950612350620013,0.0315379626911581,0.0269585422033415,"TF102565_c1_g1_i2/TF135132_c0_g1_i2/TF152526_c0_g3_i1/TF213746_c2_g2_i4/TF240471_c0_g1_i1/TF322458_c1_g2_i1/TF336387_c0_g2_i1/TF379010_c1_g1_i1/TF379481_c0_g1_i1/TF415678_c0_g2_i2/TF293522_c0_g1_i4/TF310865_c0_g1_i6",12
"18","D1.303.infected","D1","303","infected","GO:0006364","rRNA processing","11/326","295/26205",0.00125523146212972,0.0372605549811138,0.031850194440743,"TF192752_c1_g2_i3/TF202679_c0_g1_i4/TF24989_c0_g1_i3/TF270102_c0_g1_i4/TF335263_c6_g1_i1/TF374756_c0_g1_i4/TF389239_c0_g1_i1/TF405529_c1_g1_i4/TF64389_c1_g2_i5/TF72650_c1_g1_i4/TF109653_c1_g2_i1",11
"19","D1.303.infected","D1","303","infected","GO:0009266","response to temperature stimulus","8/326","179/26205",0.0018723927185852,0.0489737009922303,0.0418625514267291,"TF181145_c1_g1_i3/TF240471_c0_g1_i1/TF336387_c0_g2_i1/TF348980_c4_g3_i1/TF352356_c0_g1_i7/TF395657_c1_g2_i1/TF53025_c1_g1_i1/TF325581_c0_g1_i4",8
"20","D1.303.infected","D1","303","infected","GO:0010218","response to far red light","7/326","140/26205",0.00189618283275683,0.0489737009922303,0.0418625514267291,"TF129369_c1_g1_i3/TF252754_c0_g1_i8/TF270102_c0_g1_i4/TF335263_c6_g1_i1/TF59739_c1_g1_i1/TF64389_c1_g2_i5/TF375368_c0_g1_i6",7
"21","D1.303.infected","D1","303","infected","GO:0019243","methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","7/326","141/26205",0.00197443692982573,0.0489737009922303,0.0418625514267291,"TF131450_c0_g1_i1/TF266830_c1_g2_i1/TF350842_c2_g1_i5/TF416986_c0_g1_i3/TF172031_c4_g1_i2/TF364642_c0_g1_i1/TF413036_c0_g1_i5",7
"22","D1.303.infected","D1","303","infected","GO:0008113","peptide-methionine (S)-S-oxide reductase activity","2/326","6/26205",0.00223914849410535,0.0489737009922303,0.0418625514267291,"TF220283_c0_g1_i2/TF416816_c0_g1_i2",2
"23","D1.303.infected","D1","303","infected","GO:0009061","anaerobic respiration","2/326","6/26205",0.00223914849410535,0.0489737009922303,0.0418625514267291,"TF87387_c0_g1_i4/TF87387_c0_g1_i1",2
"24","D1.303.infected","D1","303","infected","GO:0010608","post-transcriptional regulation of gene expression","2/326","6/26205",0.00223914849410535,0.0489737009922303,0.0418625514267291,"TF325029_c1_g1_i4/TF325029_c1_g1_i9",2
"25","D1.303.infected","D1","303","infected","GO:0009853","photorespiration","8/326","185/26205",0.0022991688280915,0.0489737009922303,0.0418625514267291,"TF152526_c0_g3_i1/TF240471_c0_g1_i1/TF245605_c0_g1_i1/TF368765_c2_g1_i1/TF385319_c0_g1_i1/TF415678_c0_g2_i2/TF109653_c1_g2_i1/TF368765_c2_g1_i3",8
"26","D1.303.infected","D1","303","infected","GO:0015450","protein-transporting ATPase activity","4/326","45/26205",0.00234448568579826,0.0489737009922303,0.0418625514267291,"TF265088_c0_g1_i4/TF368765_c2_g1_i1/TF389152_c0_g1_i2/TF368765_c2_g1_i3",4
"27","D1.303.infected","D1","303","infected","GO:0045036","protein targeting to chloroplast","5/326","75/26205",0.0024490192409521,0.0493302447106065,0.0421673237727842,"TF202679_c0_g1_i4/TF24989_c0_g1_i3/TF53626_c0_g1_i1/TF74260_c0_g1_i1/TF375368_c0_g1_i6",5
"28","D1.303.uninfected","D1","303","uninfected","GO:0009408","response to heat","47/897","411/26205",5.26729652649424e-13,5.42531542228907e-10,4.93462516692618e-10,"TF102991_c0_g7_i2/TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF162071_c2_g1_i1/TF167263_c0_g2_i9/TF168666_c0_g1_i1/TF176495_c0_g1_i2/TF181145_c1_g1_i3/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF226965_c0_g1_i1/TF240471_c0_g1_i1/TF283953_c0_g1_i4/TF294397_c0_g2_i1/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF322458_c1_g2_i1/TF325029_c1_g1_i4/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF368497_c0_g1_i2/TF380387_c1_g1_i3/TF393083_c0_g2_i1/TF395657_c1_g2_i1/TF412964_c0_g1_i1/TF414373_c1_g1_i1/TF415678_c0_g2_i2/TF66461_c4_g3_i2/TF75984_c0_g3_i5/TF90704_c1_g2_i1/TF92658_c0_g1_i12/TF97278_c0_g1_i7/TF102884_c0_g1_i1/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF185684_c1_g1_i9/TF194792_c0_g1_i4/TF260012_c0_g1_i14/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF339782_c1_g1_i1/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF402140_c0_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",47
"29","D1.303.uninfected","D1","303","uninfected","GO:0042542","response to hydrogen peroxide","41/897","370/26205",4.4076004075592e-11,2.26991420989299e-08,2.06461282248826e-08,"TF102991_c0_g7_i2/TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF167263_c0_g2_i9/TF168666_c0_g1_i1/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF197608_c1_g2_i12/TF226965_c0_g1_i1/TF240471_c0_g1_i1/TF25696_c1_g1_i9/TF283953_c0_g1_i4/TF294397_c0_g2_i1/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF325029_c1_g1_i4/TF326436_c0_g1_i1/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF390202_c0_g1_i1/TF393083_c0_g2_i1/TF395657_c1_g2_i1/TF414373_c1_g1_i1/TF66461_c4_g3_i2/TF90704_c1_g2_i1/TF92658_c0_g1_i12/TF97278_c0_g1_i7/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF185684_c1_g1_i9/TF194792_c0_g1_i4/TF260012_c0_g1_i14/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF339782_c1_g1_i1/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF402140_c0_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",41
"30","D1.303.uninfected","D1","303","uninfected","GO:0009644","response to high light intensity","42/897","391/26205",6.87272530249541e-11,2.35963568719009e-08,2.14621948042839e-08,"TF102991_c0_g7_i2/TF117509_c1_g2_i3/TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF167263_c0_g2_i9/TF168666_c0_g1_i1/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF226965_c0_g1_i1/TF240471_c0_g1_i1/TF283953_c0_g1_i4/TF294397_c0_g2_i1/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF325029_c1_g1_i4/TF326436_c0_g1_i1/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF393083_c0_g2_i1/TF395657_c1_g2_i1/TF414373_c1_g1_i1/TF59739_c1_g1_i1/TF66461_c4_g3_i2/TF90704_c1_g2_i1/TF92658_c0_g1_i12/TF97278_c0_g1_i7/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF185684_c1_g1_i9/TF194792_c0_g1_i4/TF260012_c0_g1_i14/TF288079_c0_g1_i4/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF339782_c1_g1_i1/TF375368_c0_g1_i6/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF402140_c0_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",42
"31","D1.303.uninfected","D1","303","uninfected","GO:0009658","chloroplast organization","23/897","206/26205",7.04778340675719e-07,0.000181480422723998,0.000165066506105629,"TF111893_c2_g1_i3/TF122272_c0_g2_i1/TF145937_c0_g1_i4/TF162071_c2_g1_i1/TF195852_c0_g1_i2/TF196507_c0_g1_i2/TF227377_c0_g1_i5/TF228711_c0_g1_i2/TF24989_c0_g1_i3/TF259541_c3_g1_i2/TF297756_c0_g1_i5/TF302872_c0_g1_i3/TF318169_c0_g1_i2/TF351425_c2_g1_i7/TF380387_c1_g1_i3/TF40040_c0_g1_i1/TF44951_c1_g1_i5/TF52982_c0_g3_i4/TF63515_c1_g1_i10/TF71051_c2_g1_i1/TF102884_c0_g1_i1/TF310865_c0_g1_i6/TF346276_c0_g1_i3",23
"32","D1.303.uninfected","D1","303","uninfected","GO:0006626","protein targeting to mitochondrion","18/897","150/26205",4.02984497920851e-06,0.000830148065716954,0.000755065690841174,"TF150529_c0_g1_i1/TF160393_c0_g1_i2/TF172318_c0_g1_i2/TF183441_c0_g1_i2/TF188744_c0_g2_i3/TF235784_c0_g2_i3/TF241233_c0_g1_i1/TF279270_c0_g2_i9/TF377023_c0_g1_i7/TF53626_c0_g1_i1/TF72360_c1_g1_i2/TF74204_c1_g1_i6/TF78546_c0_g1_i4/TF93258_c0_g1_i5/TF12132_c0_g3_i8/TF247770_c0_g1_i2/TF302992_c0_g1_i2/TF368765_c2_g1_i3",18
"33","D1.303.uninfected","D1","303","uninfected","GO:0005507","copper ion binding","23/897","237/26205",7.74466157196117e-06,0.00132950023652,0.00120925417527113,"TF150529_c0_g1_i1/TF152526_c0_g3_i1/TF188744_c0_g2_i3/TF238568_c0_g1_i3/TF265374_c0_g1_i7/TF270169_c2_g1_i4/TF29462_c0_g1_i3/TF296187_c0_g1_i4/TF30903_c0_g1_i1/TF310865_c0_g1_i2/TF312633_c0_g1_i2/TF317341_c0_g1_i4/TF389252_c0_g1_i6/TF39746_c0_g1_i3/TF52982_c0_g3_i4/TF74204_c1_g1_i6/TF79365_c1_g2_i2/TF155888_c0_g1_i4/TF258429_c0_g1_i13/TF265374_c0_g1_i4/TF310865_c0_g1_i6/TF360490_c0_g1_i1/TF368225_c0_g1_i6",23
"34","D1.303.uninfected","D1","303","uninfected","GO:0009698","phenylpropanoid metabolic process","12/897","79/26205",1.49515084400767e-05,0.00220000767046842,0.00200102894912304,"TF11902_c0_g1_i1/TF165301_c2_g1_i3/TF211885_c1_g1_i1/TF240471_c0_g1_i1/TF325759_c0_g1_i2/TF332711_c0_g1_i1/TF362375_c0_g1_i5/TF67729_c3_g1_i1/TF161039_c1_g2_i2/TF253494_c1_g2_i4/TF258429_c0_g1_i13/TF283184_c2_g1_i2",12
"35","D1.303.uninfected","D1","303","uninfected","GO:0051087","chaperone binding","4/897","6/26205",1.93605172769889e-05,0.00249266659941232,0.00226721847059476,"TF181145_c1_g1_i3/TF310865_c0_g1_i2/TF317341_c0_g1_i4/TF155888_c0_g1_i4",4
"36","D1.303.uninfected","D1","303","uninfected","GO:0010286","heat acclimation","15/897","127/26205",3.04119040636895e-05,0.00348047346506669,0.00316568358089867,"TF102991_c0_g7_i2/TF167263_c0_g2_i9/TF212190_c0_g3_i8/TF300774_c0_g1_i5/TF325029_c1_g1_i4/TF341444_c1_g1_i8/TF38893_c0_g2_i1/TF414373_c1_g1_i1/TF66461_c4_g3_i2/TF260012_c0_g1_i14/TF298391_c1_g1_i7/TF325029_c1_g1_i9/TF370093_c2_g1_i3/TF393249_c1_g1_i2/TF393249_c1_g1_i4",15
"37","D1.303.uninfected","D1","303","uninfected","GO:0006096","glycolytic process","27/897","335/26205",3.89451415496426e-05,0.00401134957961319,0.00364854483991389,"TF120767_c1_g1_i3/TF143817_c1_g1_i3/TF152526_c0_g3_i1/TF154923_c0_g1_i1/TF240471_c0_g1_i1/TF276220_c0_g1_i1/TF300066_c0_g1_i1/TF30375_c0_g1_i1/TF322458_c1_g2_i1/TF325052_c0_g2_i2/TF336387_c0_g2_i1/TF342648_c0_g1_i8/TF352356_c0_g1_i7/TF359371_c6_g1_i1/TF384095_c0_g1_i1/TF39746_c0_g1_i3/TF40471_c0_g1_i3/TF405200_c2_g2_i4/TF412964_c0_g1_i1/TF415678_c0_g2_i2/TF52982_c0_g3_i4/TF53025_c1_g1_i1/TF66770_c0_g2_i2/TF96102_c0_g1_i3/TF258429_c0_g1_i13/TF310865_c0_g1_i6/TF392623_c0_g1_i3",27
"38","D1.303.uninfected","D1","303","uninfected","GO:0009266","response to temperature stimulus","18/897","179/26205",4.59427106665376e-05,0.00430190836241216,0.00391282416203048,"TF154923_c0_g1_i1/TF181145_c1_g1_i3/TF188621_c1_g2_i4/TF240471_c0_g1_i1/TF300066_c0_g1_i1/TF30375_c0_g1_i1/TF325052_c0_g2_i2/TF336387_c0_g2_i1/TF352356_c0_g1_i7/TF359371_c6_g1_i1/TF384095_c0_g1_i1/TF395657_c1_g2_i1/TF405200_c2_g2_i4/TF412964_c0_g1_i1/TF53025_c1_g1_i1/TF258429_c0_g1_i13/TF325581_c0_g1_i4/TF392623_c0_g1_i3",18
"39","D1.303.uninfected","D1","303","uninfected","GO:0034976","response to endoplasmic reticulum stress","27/897","345/26205",6.44234908283414e-05,0.00552968296276597,0.00502955323133543,"TF102991_c0_g7_i2/TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF168666_c0_g1_i1/TF188744_c0_g2_i3/TF212190_c0_g3_i8/TF240471_c0_g1_i1/TF276220_c0_g1_i1/TF283953_c0_g1_i4/TF310865_c0_g1_i2/TF317341_c0_g1_i4/TF329791_c0_g1_i1/TF336387_c0_g2_i1/TF395657_c1_g2_i1/TF411950_c0_g1_i1/TF66461_c4_g3_i2/TF92658_c0_g1_i12/TF97278_c0_g1_i7/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF185684_c1_g1_i9/TF247770_c0_g1_i2/TF31272_c0_g1_i10/TF339782_c1_g1_i1/TF402140_c0_g1_i4/TF405752_c0_g1_i1/TF75984_c0_g1_i5",27
"40","D1.303.uninfected","D1","303","uninfected","GO:0016226","iron-sulfur cluster assembly","15/897","145/26205",0.000140472191078778,0.0111297197547032,0.0101230971708593,"TF111893_c2_g1_i3/TF122272_c0_g2_i1/TF145937_c0_g1_i4/TF178051_c0_g1_i4/TF227377_c0_g1_i5/TF24989_c0_g1_i3/TF297756_c0_g1_i5/TF303123_c0_g1_i1/TF318169_c0_g1_i2/TF372674_c0_g3_i2/TF379970_c1_g1_i2/TF63515_c1_g1_i10/TF266830_c1_g2_i3/TF346276_c0_g1_i3/TF349459_c0_g1_i10",15
"41","D1.303.uninfected","D1","303","uninfected","GO:0019172","glyoxalase III activity","3/897","4/26205",0.000155819783347026,0.0114638840605312,0.0104270381337483,"TF211770_c0_g1_i5/TF328989_c0_g1_i1/TF411950_c0_g1_i7",3
"42","D1.303.uninfected","D1","303","uninfected","GO:0006399","tRNA metabolic process","8/897","50/26205",0.00027401700912952,0.0188158346268937,0.0171140447807209,"TF111893_c2_g1_i3/TF145937_c0_g1_i4/TF227377_c0_g1_i5/TF24989_c0_g1_i3/TF259541_c3_g1_i2/TF297756_c0_g1_i5/TF318169_c0_g1_i2/TF63515_c1_g1_i10",8
"43","D1.303.uninfected","D1","303","uninfected","GO:0045548","phenylalanine ammonia-lyase activity","3/897","5/26205",0.000379598175024574,0.0233601641147189,0.0212473643966273,"TF11902_c0_g1_i1/TF165301_c2_g1_i3/TF325759_c0_g1_i2",3
"44","D1.303.uninfected","D1","303","uninfected","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","15/897","159/26205",0.000385556106747788,0.0233601641147189,0.0212473643966273,"TF113990_c2_g1_i1/TF117792_c0_g1_i3/TF156692_c0_g1_i2/TF158239_c1_g1_i7/TF188432_c0_g1_i1/TF192527_c3_g1_i1/TF205762_c0_g2_i3/TF332711_c0_g1_i1/TF347826_c0_g1_i5/TF50096_c1_g1_i2/TF50384_c3_g1_i3/TF87721_c1_g1_i1/TF96141_c0_g1_i6/TF188432_c0_g1_i3/TF71630_c0_g1_i3",15
"45","D1.303.uninfected","D1","303","uninfected","GO:0006833","water transport","17/897","199/26205",0.000521064460074808,0.0293668311533881,0.0267107610899493,"TF101842_c0_g1_i2/TF154923_c0_g1_i1/TF240471_c0_g1_i1/TF300066_c0_g1_i1/TF30375_c0_g1_i1/TF325052_c0_g2_i2/TF336387_c0_g2_i1/TF352356_c0_g1_i7/TF359371_c6_g1_i1/TF384095_c0_g1_i1/TF405200_c2_g2_i4/TF412964_c0_g1_i1/TF53025_c1_g1_i1/TF55384_c1_g3_i2/TF258429_c0_g1_i13/TF392623_c0_g1_i3/TF57467_c1_g1_i8",17
"46","D1.303.uninfected","D1","303","uninfected","GO:0034599","cellular response to oxidative stress","4/897","12/26205",0.000541718244577062,0.0293668311533881,0.0267107610899493,"TF220283_c0_g1_i5/TF265374_c0_g1_i7/TF39746_c0_g1_i3/TF220283_c0_g1_i2",4
"47","D1.303.uninfected","D1","303","uninfected","GO:0030527","structural constituent of chromatin","3/897","6/26205",0.000739835832772159,0.0381015453877662,0.0346554679561696,"TF114943_c0_g1_i3/TF92812_c0_g1_i1/TF114943_c0_g1_i9",3
"48","D1.303.uninfected","D1","303","uninfected","GO:0045036","protein targeting to chloroplast","9/897","75/26205",0.00103042535549757,0.0485563114888138,0.0441646573582466,"TF227377_c0_g1_i5/TF228711_c0_g1_i2/TF24989_c0_g1_i3/TF259541_c3_g1_i2/TF301189_c2_g1_i1/TF344216_c1_g2_i1/TF53626_c0_g1_i1/TF96102_c0_g1_i3/TF375368_c0_g1_i6",9
"49","D1.303.uninfected","D1","303","uninfected","GO:0046688","response to copper ion","4/897","14/26205",0.00103712509976107,0.0485563114888138,0.0441646573582466,"TF235784_c0_g2_i3/TF241233_c0_g1_i1/TF265374_c0_g1_i7/TF39746_c0_g1_i3",4
